title,lyric,themes,reference,url
Be Still,"Verse Be still and know That I am your God Be still, be still I am your God Chorus The nations know Your matchless name The earth resounds with thunderous praise The rocks and trees declare that You are God The human race cannot contain The glory from Your throne of grace So here we stand still before You, God Bridge In awe of You, in awe of You We bow to You, we bow to You From age to age, Your kingdom knows no end","['Grace & Mercy', 'Peace & Hope']",['Ps 46.10'],https://www.worshiptogether.com/songs/be-still-mark-tedder/
Be Still And Know,Chorus Be still and know that He is God Be still and know that He is God Be still and know that He is God Be still Be speechless Verse 1 Be still and know that He is God Be still and know that He is holy Be still oh restless soul of mine Bow before the Prince of Peace Let the noise and clamor cease Verse 2 Be still and know that He is God Be still and know that He is faithful Consider all that He has done Stand in awe and be amazed And know that He will never change Be still Verse 3 Be still and know that He is God Be still and know He is our Father Come rest your head upon His breast Listen to the rhythm of His unfailing heart of love Beating for His little ones Calling each of us to come Be still Be still,['Gods Attributes'],['Ps 46.10'],https://www.worshiptogether.com/songs/be-still-and-know-steven-curtis-chapman/
Beautiful Jesus,"Verse 1 Your love oh God dis played for us As crimson covered over sinless hands Your majesty for all to see In raging storms and quiet cloudless days Chorus 1 Beautiful Jesus, beautiful Savior Nothing is greater, brilliant Creator Friend of mine Verse 2 You're powerful a bove this world The universe is under Your com mand Your glory shines a holy light That leads our hearts to praise Your holy name is on our lips Bridge My lips will sing My heart will bring praise to You The holy King My lips will sing My heart will bring praise to You Holy","['Adoration & Praise', 'Easter']",['Mark 14.6'],https://www.worshiptogether.com/songs/beautiful-jesus-passion/
In Control,"Intro |2x| Verse From heaven You can hear I know You‘re drawing near as I wor ship Held within Your love the wind and waves will come But I will stay here Chorus I lift my hands to heav en, here my heart surr endered I tell my soul a gain You are Lord of all Though the seas are rag ing You will speak and tame them In You I find my rest You are in con trol Verse 2 Through valleys I will trust You’re Spirit is enough to keep me walk ing You guide my every step Speak life to me again Lord I need You Oh I need You REPEAT CHORUS instrumental Bridge I will trust in only You No one can add to Your per fection You’re the be ginning and the end More than I can comprehend There is no one like You, no one |2x| Bridge I will trust in only You No one can add to Your per fection You’re the be ginning and the end More than I can comprehend There is no one like You, Jesus REPEAT CHORUS |2x|","['Call to Worship', 'Faith & Trust', 'Suffering & Trials']","['Prov 3.5-6', 'Prov 16.9']",https://www.worshiptogether.com/songs/in-control-hillsong-worship/
Beautiful Lord,"Verse 1 When the storm is raging all around me You are the peace that calms my troubled sea When the cares of this world darken my day You are the light that shines and shows me the way Pre-Chorus Oh the beauty of Your majesty On the cross You showed Your love for me Chorus Beautiful Lord , awesome and mighty I’m captured by this love I see. Beautiful Lord, tender and holy Your mercy brings me to my knees It’s Your mer - cy that has made me free Beautiful Lord Verse 2 When my sin is all that I can see Your grace remains the shelter that I seek And when my weakness is all I can give Your gentle Spirit gives me strength again (Repeat Pre-Chorus and Chorus) Bridge And I am lifted by Your love to sing It’s Your mercy that has made me free And I am lifted by Your love to sing It’s Your mercy that has made me free (Repeat Pre-Chorus, Chorus & Tag) Ending You’re Beautiful , my Lord . (repeat)",['Grace & Mercy'],['Eph 2.4-6'],https://www.worshiptogether.com/songs/beautiful-lord-leeland/
Beautiful,Verse 1 Here before Your altar I am letting go of all I am Of ev'ry motive ev'ry burden Ev'rything that's of myself And I just wanna wait on You my God I just wanna dwell on who You are Chorus Beautiful beautiful O I am lost for more to say Beautiful beautiful O Lord You're beautiful to me Verse 2 Here in Your Presence I am not afraid of brokenness To wash Your feet with humble tears O I would be poured out 'til nothing's left And I just want to wait on You my God I just want to dwell on who You are Bridge Holy holy holy You are You are Ending And I just wanna wait on You my God I just wanna dwell on who You are,['Adoration & Praise'],['Ps 27.4'],https://www.worshiptogether.com/songs/beautiful-kari-jobe/
Impossible Things,Intro Verse 1 You heal the broken heart ed You set the captive free You lift the heavy bur den And e ven now You are lifting me Chorus There is no healer like the Lord Maker There is no equal to the King of kings Our God is with us we will fear no evil Cause You do im possible things You do im possible things Turnaround Verse 2 Though I walk through the val ley Darkness surrounding me There You prepare a ta ble In the presence of my enem ies REPEAT CHORUS Bridge One word and the walls start falling One word and the blind will see One word and the sinner’s for given Cause You do im possi ble things |2x| Chorus 2 There is no healer like the Lord Maker There is no equal to the King of kings Our God is with us we will fear no evil Cause You do im possible things There is no healer like the Lord Maker There is no equal to the King of kings Our God is with us we will fear no evil Cause You do im possible things You do im possible things Tag You do more than I could ask Or even imag ine You are more than I could ask You’re more than en ough REPEAT VERSE 1,"['Adoration & Praise', 'Gods Attributes', 'Peace & Hope', 'Suffering & Trials']","['Eph 3.20', 'Matt 19.26']",https://www.worshiptogether.com/songs/impossible-things-chris-tomlin/
In The Name,"Intro Verse 1 Our God is strong in b attle Our God can never fa il Through Him all chains are br oken In Him the sick are he aled Chorus In the name of Jesus Giants are de feated Every single mountain has to mo ve You’re faithful to Your promise You finish what You started There is none as powerful as Yo u, Jesus Turnaround Verse 2 We see the power of he aven Setting the captives fr ee We are the church awa kened Singing in victor y REPEAT CHORUS Turnaround Bridge Be lifted hi gher Be lifted hi gher We lift the so und of Your great na me Be lifted hi gher Be lifted hi gher Lord, we exa lt You in our pr aise REPEAT CHORUS 2X","['Adoration & Praise', 'Faith & Trust', 'Gods Attributes']","['Acts 3.6', 'Col 3.17']",https://www.worshiptogether.com/songs/in-the-name-lakewood-music/
Home,"Intro Verse 1 This world is not what it was meant to be All this pain, all this suffering There's a better place waiting for me in heaven Every tear will be wiped away Every sorrow and sin erased We'll dance on seas of a mazing grace in heaven In heaven, I'm going Chorus Home where the streets are golden Every chain is broken Oh I wanna go, oh I wanna go Home where every fear is gone I'm in Your open arms Where I belong Home Turnaround Verse 2 Lay down my burdens, I lay down my past I run to Jesus no turning back Thank God Almighty I'll be free at last in heaven In heaven, I'm going Chorus 2 Home where the streets are golden Every chain is broken Oh I wanna go, oh I wanna go Home where every fear is gone I'm in Your open arms Where I belong Bridge Blinded eyes will finally see The dead will rise on the shores of eternity The trump will sound the angels will sing Halle lujah, halle lujah! I am goin' REPEAT CHORUS Outro Where I bel ong Where I bel ong I'm going home I'm going home I'm on my way home! I'm goin home!","['Faith & Trust', 'Peace & Hope', 'Resurrection & Sacrifice', 'Suffering & Trials']",['Heb. 13.14'],https://www.worshiptogether.com/songs/home-chris-tomlin/
Open Up The Doors,"Intro Verse 1 Come and dwell In the space we’ve made You can have our hearts You can have Your way 'Cause we’re tearing down All the walls we’ve built Be welcome now Be welcome here Chorus We open up the doors We open up the doors We open up the doors And let You i n We open up the doors We open up the doors We open up the doors And let You i n Turnaround Verse 2 Come and move In the barren lands Come like a fire Come like a friend 'Cause we’re ready for That gospel sound When Your Spirit blows And heaven comes down REPEAT CHORUS 2X Bridge Fill every ro om, every hall Meet us he re in it all Our every da y, our mundane In every sp ace, in every way Nothing's hi dden in your sight You bring ev erything to life If we just open up our eyes We’ll see You i n it REPEAT BRIDGE Vamp Come i n, come i n Come i n, come i n Come i n, come i n Come i n, come i n REPEAT CHORUS REPEAT VAMP REPEAT CHORUS (down) Outro","['Call to Worship', 'Gods Attributes']","['Phil 2.13', 'Acts 1.8', 'Acts 14.27']",https://www.worshiptogether.com/songs/open-up-the-doors-housefires/
High Praise,"Intro Verse 1 Come now ru n Daughters and so ns All tribes and to ngues Let's start sing ing No sweeter so und Than freedom fo und It may get lo ud So let's start sing ing Chorus 1 Celebrate the King seated on the throne The glory is Yours forevermore Celebrate the Son, look at what He's done The blood of the Lamb has overcome The greatest da ys are still ahe ad Oh, He's just getting started Turnaround Verse 2 Our mountains qu ake Our strongholds br eak Over every gr ave Hear us sing ing Chorus 2 Celebrate the King seated on the throne The glory is Yours forevermore Celebrate the Son, look at what He's done The blood of the Lamb has overcome Celebrate the King seated on the throne The glory is Yours forevermore Celebrate the Son, look at what He's done The blood of the Lamb has overcome The greatest da ys are still ahe ad Oh, He's just getting started Turnaround Bridge 1 Give Him hi gh praise Give Him hi gh praise Give Him hi gh praise Give Him hi gh praise REPEAT BRIDGE 1 2X Bridge 2 Give Him hi gh praise Give Him hi gh praise Give Him hi gh praise Give Him hi gh praise REPEAT BRIDGE 2 Chorus 3 Celebrate the King seated on the throne The glory is Yours forevermore Celebrate the Son, look at what He's done The blood of the Lamb has overcome Celebrate the King seated on the throne The glory is Yours forevermore Celebrate the Son, look at what He's done The blood of the Lamb has overcome The greatest da ys are still ahe ad Oh, He's just getting started Tag Our lips will ra ise the loudest pr aise Oh, we're just getting started Turnaround Vamp 1 Who else is holy and matchless in glory He's worthy, He's worthy of highest praise Who else is holy and matchless in glory He's worthy, He's worthy of highest praise Vamp 2 Who else is holy and matchless in glory He's worthy, He's worthy of highest praise Who else is holy and matchless in glory He's worthy, He's worthy of highest praise REPEAT VAMP 2 Vamp 3 He's worthy, He's worthy He's worthy, He's worthy He's worthy, He's worthy He's worthy, He's worthy He's worthy, He's worthy He's worthy, He's worthy He's worthy, He's worthy Yeah! REPEAT CHORUS 3 Final Tag Our lips will ra ise the loudest pr aise Oh, we're just getting started The greatest da ys are still ahe ad Oh, He's just getting started Our lips will ra ise the highest pr aise Oh, we're just getting started","['Adoration & Praise', 'Call to Worship', 'Gods Attributes']","['Ps 47.8', 'Rom 11.36']",https://www.worshiptogether.com/songs/high-praise-maverick-city-music/
High Up,"Intro Verse 1 People always tryna bring you down They be throwing stones Like it’s going out of style Seeking for the ones they can devour But you can’t let ‘em have it You can’t let ‘em take that power Don’t forget who you were made to be, be Royal priesthood You’re a child of the King Don’t give in to nega tivity Just keep smiling in the face Of all your enemies Chorus You can’t bring me down, I’m way too high up High up Thoughts above the clouds, I’m caught in Your love Your love And nothing that you say can change a thing There’s a greater voice affirming me You can’t bring me down, I’m way too high up High up Verse 2 People always got a lot to say World full of noise Voices drowning by the day Everything is up for debate She say, he say, we say Can’t nobody get it straight Don’t forget who you were made to be, be Royal priesthood You’re a child of the King Don’t give in to nega tivity Just keep elevating Above all your enemies REPEAT CHORUS Bridge 1 When the lies come, I’ll keep my eyes up Listening for what’s true When it gets loud, I’ll turn the world down I’ll stay here with You REPEAT BRIDGE 1 REPEAT CHORUS Bridge 2 When the lies come, I’ll keep my eyes up Listening for what’s true When it gets loud, I’ll turn the world down I’ll stay here with You","['Peace & Hope', 'Prayer & Renewal', 'Suffering & Trials']","['Prov 24.16', 'Ps 145.14-16', 'Ps 63.7-8']",https://www.worshiptogether.com/songs/high-up-jonathan-traylor/
I'll Follow You,"Intro Verse 1 I cannot see what tomorrow will bring But I know You are with me I do not know what the future will hold But You’ll never for sake me Pre-Chorus All my da ys You never left my si de Cloud by da y Fire by night Chorus I’ll follow You all of my life I’ll follow You all of my life Verse 2 I cannot win this bat tle on my own I’m so glad You are for me I’ve been in the fire but You brought out No, You’ll never for sake me REPEAT PRE-CHORUS REPEAT CHORUS Bridge Every step I take You’ve already been there And every move I make You’ve seen it before So I won’t turn back now For You are with me You have led me here So I will trust in the Lo rd REPEAT BRIDGE REPEAT PRE-CHORUS REPEAT CHORUS Tag I’ll follow You all of my life","['Adoration & Praise', 'Commitment & Dedication', 'Gods Attributes']",['Ps 19.7-8'],https://www.worshiptogether.com/songs/ill-follow-you-jonathan-traylor/
On The Altar,"Intro Verse 1 Here’s my life as a sacrifice I’ll be the incense, the sweetest fragrance Wholly Yours, conse crated for Only You, Lord, just for You Lord Pre-Chorus 'Cause I’m Your temple A dwelling place for You Lord, make my heart A pleasing home for You Chorus 1 Oh, I will live on the altar Oh, You are worth what You asked for If You’re searching for a heart as You’re re ward Then I am Yours Turnaround Verse 2 In Your house I will daily live Fixed on one thing: to see Your beauty You alone are worth more than gold I’ll trade the world for a day in Your courts REPEAT PRE-CHORUS Chorus 2 Oh, I will live on the altar Oh, You are worth what You asked for Oh, I will live on the altar Oh, You are worth what You asked for If You’re searching for a heart as You’re re ward If You’re searching for a heart as You’re re ward Then I am Yours Instrumental Bridge I want to be the oil I want to be the sacrifice I want to be a laid down lover all my life I want to be the oil I want to be the sacrifice I want to be a laid down lover all my life REPEAT BRIDGE Chorus 3 Oh, I will live on the altar Oh, You are worth what You asked for Oh, I will live on the altar Oh, You are worth what You asked for If You’re searching for a heart as You’re re ward If You’re searching for a heart as You’re re ward If You’re searching for a heart as You’re re ward Then I am Yours Outro","['Adoration & Praise', 'Call to Worship', 'Commitment & Dedication']","['1 Cor 9.13', 'Rom 12.1']",https://www.worshiptogether.com/songs/on-the-altar-upperroom/
Just Because,"Intro Verse 1 Boldly I come into His arms With nothing to bring but all of my heart How could this be the way He looks in my eyes All broken and crimson sin, He sees only white Chorus I can’t do anything to gain what He’s done He just loves me ‘cause He loves me ‘cause He loves me Just because He does Verse 2 Tired and a fraid, forgotten what’s paid So I’ll hide in my shame like an orphan in chains I ran from my promise but it’s never e nough 'Cause my walls and my mountains always ran out of luck Chorus I can’t do anything to deserve what He’s done He just loves me ‘cause He loves me ‘cause He loves me Just because He does Verse 3 I’m His be loved, I am His friend His love has no limit from beginning to end No angel or demon will ever sepa rate Me from His good ness and His wonderful gaze Verse 4 So let me re mind you of all that He’s done He just loves you ‘cause He loves you ‘cause He loves you Just because He does Verse 5 You are His favorite, You are His friend No weapon a gainst you ev - er stands a chance Not heaven or hell nor darkness or light Will ever de ny you of His wonderful smile Chorus So I won’t be silent. It’s too good to be true He just loves you ‘cause He loves you ‘cause He loves you ‘Cause He loves you","['Adoration & Praise', 'Gods Attributes']",['Rom 8.37-39'],https://www.worshiptogether.com/songs/just-because-judah/
Miracle Of Love,"Intro Verse 1 I got the ne ws today I he ard that you were c oming It took my br eath away And the te ars filled up my ey es Surely you’d ch ange some things And the wa y that I was l iving I hit my kn ees to pray So gr ateful for new li fe Chorus 1 A baby born, a baby born A m iracle of lo ve A gift from God se nt to us From he aven abo ve And I th ought I heard a ngels singing Halleluja h A baby born, a baby born A m iracle of lo ve Verse 2 Better than wonderful Oh i sn’t it am azing Something so small and frail Can ma ke me feel this wa y I gotta tell everyone I kn ow about this b aby It's getting close And I can’t wa it for Christmas Da y Chorus 2 A baby born, a baby born A m iracle of lo ve A gift from God se nt to us From he aven abo ve And I th ought I heard a ngels singing Halleluja h A baby born, a baby born A m iracle of lo ve Vamp Oh oh oh Oh oh oh Yeah yeah ye ah REPEAT VAMP Bridge Oh the jo y, oh the lo ve Oh the wo rds are not eno ugh For this p erfect, p recious Bles sing of... Down Chorus A baby born, a baby born A gift from God se nt to us From he aven abo ve REPEAT CHORUS 2 REPEAT VAMP 4x and fade","['Adoration & Praise', 'Peace & Hope', 'Christmas']","['Luke 1.35', 'Luke 2.10']",https://www.worshiptogether.com/songs/miracle-of-love-chris-tomlin/
O Come O Come Emmanuel,"Verse 1 O come, O come, Emmanu el And ransom captive Isra el That mourns in lonely exile here Un til the Son of God ap pear Chorus Re joice! Re joice! Em man - u- el Shall come to thee O Is - ra- el Verse 2 O come, Thou Rod of Jesse, free Thine own from Satan's tyran ny From depths of hell Thy people save And give them victory o'er the grave Chorus Re joice! Re joice! Em man - u- el Shall come to thee O Is - ra- el Instrumental Verse 3 O come, Thou Dayspring Come and cheer Our spirits by Thine advent here Dis perse the gloomy clouds of night And death's dark shadows put to flight Instrumental Outro",['Christmas'],['Matt 1.23'],https://www.worshiptogether.com/songs/o-come-o-come-emmanuel-tommee-profitt/
What Love Is This,"Verse 1 You never change You are the God You say You are When I'm afraid You come and still my beating heart You stay the same When hope is just a distant thought You take my pain And You lead me to the cross Chorus What love is this? That You gave Your life for me And made a way for me to know You And I confess You’re always enough for me You’re all I need Verse 2 I look to You I see the scars upon Your hands And hold the truth That when I can't, You always can And standing here Beneath the shadow of the cross I'm overwhelmed That I keep finding open arms Bridge Jesus, in Your suffering You were reaching You thought of me","['Adoration & Praise', 'Commitment & Dedication', 'Grace & Mercy', 'Peace & Hope', 'Suffering & Trials']",['1 John 3.1'],https://www.worshiptogether.com/songs/what-love-is-this-kari-jobe/
O Come All Ye Faithful,"Intro Refrain O come let us a dore Him O come let us a dore Him O come let us a dore Him Christ the Lord Turnaround Verse 1 O come, al l ye faithful Joyful and trium phant O come y e, O come to Bethle hem Come an d behold Him Born the King of angels Let us a dore Him, Christ the Lord Chorus Come and a dore Him Come bow be fore Him The King of Heaven Emma nuel Come and a dore Him Verse 2 Sing, ch oirs of angels Sing in exul tation Sing, al l ye citizens of heav'n a bove Glory to God, all Glory in the highest Let us a dore Him, Christ the Lord REPEAT CHORUS Verse 3 Yea, Lo rd, we greet Thee Born this happy morning Jesu s, to Thee be all glory giv'n Word o f the Father Late in flesh ap pearing Let us a dore Him, Christ the Lord REPEAT CHORUS Bridge Love has come, peace on earth Glo ria, the King is here Love has come, peace on earth Glo ria, the King is here Outro Let us a dore Him, Christ the Lord",['Christmas'],['Matt 2.1-2'],https://www.worshiptogether.com/songs/o-come-all-ye-faithful-tommee-profitt/
Can't Refuse,"Intro Verse 1 I call on You You promise to show up Each time that I do so prove that it’s true I look at You Your beauty and kindness I cannot re fuse, no, I can’t re fuse I can’t re fuse Verse 2 Walking with You Through all of the years I thought I was a lone but I was so wrong Coming to You You promise to be there Each step that I take so show me the way Show me the way Show me the way Verse 3 Dreaming with You I don’t want a future That You wouldn’t choose so watch what I’ll do I’ll stand with You I will be fearless And I will be true, will You stand with me too? I’ll stand with You I’ll stand with You Instrumental Vamp 1 When I look, I’ll find You When I look, I’ll find You When I look, I’ll find You When I look, I’ll find You Vamp 2 When I look, I’ll find You When I look, I’ll find You When I look, I’ll find You When I look, I’ll find You Instrumental REPEAT VERSE 1","['Commitment & Dedication', 'Faith & Trust', 'Gods Attributes']","['Matt 7.7-8', 'Isa 41.13']",https://www.worshiptogether.com/songs/cant-refuse-mosaic-msc/
You Are My Treasure,"Verse 1 Oh, I have a hope I have a treasure I have found the place Where I have no need For my earthly posessions And my worries just fade away Pre-Chorus And when sickness and death are at my door Trying to steal from me Oh, they cannot take what I've already laid down At Jesus' feet Chorus You are my treasure Your love lasts forever Verse 2 And I have a peace That I don't understand When I know where I stand with you And I already have everything that I need And You're all that I have to lose Bridge All my hope All my hope All my hope is You Copyright © 2011 Birdwing Music (ASCAP) Toledo Tomorrow Music (ASCAP) (adm. at EMICMGPublishing.com) / Sony Atv Timber Pub (ASCAP) All rights reserved. Used by permission.","['Commitment & Dedication', 'Faith & Trust', 'Peace & Hope', 'Suffering & Trials']",['2 Cor 1.7'],https://www.worshiptogether.com/songs/you-are-my-treasure-matt-hammitt/
You Are My Vision,"Intro Oh, oh, oh (2x) Verse 1 (Down and building towards end) You are my vision, O King of my heart Nothing else satisfies, only You Lord You are my best thought by day or by night Waking or sleeping, Your presen ce my light VAMP ON INTRO AFTER EACH VERSE Verse 2 (Up a little) You are my wisdom, You are my true word I ever with You, and You with me Lord You're my great Father, and I'm Your true son You dwell in side me, to geth er we're one Verse 3 (Up more) You are my battle-shield, sword for the fight You are my dignity, You’re my de light You're my soul's shelter and You're my high tower Come raise me heavenward, O power of my power Verse 4 (Band out - just acoustic - back in at end) I don't want riches or man's empty praise You're my inheritance, now and al ways You and You only, the first in my heart High king of Heaven, my treas ure You are Verse 5 (Up all the way) High king of Heaven, when victory's won May I reach Heaven's joy, O bright Heaven's Son Heart of my own heart, what ever be fall Still be my vision, O rule r of all Intro / Repeat last 2 lines / Intro out","['Adoration & Praise', 'Commitment & Dedication', 'Prayer & Renewal']",['Rom 8.35-39'],https://www.worshiptogether.com/songs/you-are-my-vision-rend-collective/
You Are My Strength,Verse 1 You are my strength Strength like no other Strength like no other Reaches to me Verse 2 You are my hope Hope like no other Hope like no other Reaches to me Chorus In the fullness of Your grace In the power of Your Name You lift me up You lift me up Verse 3 Unfailing love Stronger than mountains Deeper than oceans Reaches to me Bridge Your love O Lord Reaches to the heavens Your faithfulness Reaches to the sky,['Peace & Hope'],"['Ps 30.1', 'Ps 28.7']",https://www.worshiptogether.com/songs/you-are-my-strength-hillsong-worship/
You Are Near,Verse In awe of You we worship And stand amazed at Your great love We're changed from glory to glory We set our hearts on You our God Chorus Now Your presence fills this place Be exalted in our praise As we worship I believe You are near Bridge Blessing and honour and glory And power forever forever Ending In awe of You we worship,['Adoration & Praise'],"['Acts 2.28', 'Ps 16.11']",https://www.worshiptogether.com/songs/you-are-near-hillsong-worship/
Keep My Heart Tender,"Intro Verse 1 Keep my heart tender Keep my heart pu re I want to be like Mary With that alabaster jar Pouring ou t every thing Pouring ou t every thing Verse 2 Keep my heart open Keep my heart tr ue Just like a child I’ll follow after You Doing ju st as You do Doing ju st as You do Chorus Oh, that You would have the glo- ry I just Want to see You honor- ed Oh, that You would have the glo- ry Let my li fe be Praise to Yo u Turnaround REPEAT VERSE 1 REPEAT CHORUS 2x Interlude Bridge 1 I want to be spilled out I want to be spilled out I want to go all out In my love for Yo u REPEAT BRIDGE 1 Bridge 2 I want to be spilled out I want to be spilled out I want to go all out In my lo ve for Yo u REPEAT BRIDGE 2 REPEAT CHORUS REPEAT BRIDGE 2 2x Instrumental REPEAT INSTRUMENTAL as desired Vamp Oh, that You would have it all Oh, that You would have it all REPEAT VAMP as desired REPEAT CHORUS Outro","['Adoration & Praise', 'Call to Worship']","['Ps 9.1', 'Ps 23.5-6', 'Rev 4.11']",https://www.worshiptogether.com/songs/keep-my-heart-tender-upperroom/
No One Like You,"Intro Verse 1 Who is like You? N o one that I know of I could se arch all the ea rth And find not one There's no shadow Th at You won't be found in Your fa ce it illumina tes The deep in me Chorus Ooo No one like You, ooo Ooo Faithful and true, no one like You Turnaround Verse 2 All creation fl ickering Your beauty Every st ar light respo nding to Your na me All of heaven is ca ught up in Your glory Jesus Ch rist, our hu mble wounded Ki ng REPEAT CHORUS 2x Instrumental Bridge I could search all of heaven above And never find another like You, another like You I could search all the earth below And never find another like You, another like You There's no other more beautiful I'll never find another like You, another like You There's no other more wonderful I'll never find another like You, another like You REPEAT BRIDGE Vamp Who is li ke the Lord? Who is li ke the Lord? REPEAT VAMP Alt Chorus Whoa No one like You, whoa Whoa Faithful and true, no one like You REPEAT ALT CHORUS REPEAT BRIDGE","['Adoration & Praise', 'Call to Worship', 'Gods Attributes']","['Jer 10.6', 'Ps 89.6-8']",https://www.worshiptogether.com/songs/no-one-like-you-upperroom/
Thirsty,"Verse 1 Come drink From the well that never runs dry Go deep And let Love teach us to fly Pre-Chorus There is rest here in the arms of Christ And all who seek will surely find Chorus If you're thirsty The Spirit and the bride say come Oh come, oh come There's mercy It doesn't matter what you've done Oh come, oh come Verse 2 Just breathe Let peace take over your soul Whatever you need Our God is in control Pre-Chorus There is rest here in the arms of Christ And all who seek will surely find Bridge There's healing, there's freedom There's more than enough for everyone There's healing, there's freedom There's more than enough for everyone Channel So we come Lord we come Chorus 2 We're thirsty Your Spirit and the bride say come Oh come, oh come There's mercy It's all because of what you've done Oh come, oh come","['Call to Worship', 'Grace & Mercy']",['Rev 22.17'],https://www.worshiptogether.com/songs/thirsty-chris-mcclarney/
On Repeat,Verse 1 Every time I come running I find grace on repeat You welcome me with No matter where I have been Every time I surrender Every time I fall I find grace more precious than I did before Chorus So I’m gonna lay my world down Here at Your feet Look to the heavens For all I need I’m gonna sing my heart out Praise on repeat To the God who’s never given up on me Verse 2 You’re the mercy at midnight You’re the kindness of dawn My hope in every waking hour And the strength I lean on Every time it comes to sundown And the night sets in Let my soul remember Just how good You’ve been And again and again My heart will sing REPEAT CHORUS Tag ‘Cause You’re the God Who’s never given up on me Bridge 1 Grace upon grace Morning by morning Day after day will I sing Praise upon praise God be exalted Over and over again REPEAT BRIDGE 1 Bridge 2 Grace upon grace Morning by morning Day after day will I sing Praise upon praise God be exalted Over and over again REPEAT CHORUS REPEAT TAG,"['Commitment & Dedication', 'Grace & Mercy']",['2 Cor 12.9-10'],https://www.worshiptogether.com/songs/on-repeat-hillsong-united/
Love On The Line,"Intro Verse 1 You put Your love on the line To bear the weight of sin that was mine Washing my rivers of wrongs Into the sea of Your infinite love Chorus With arms held high, Lord I give my life Knowing I'm found in Christ In Your love forever With all I am, in Your grace I stand The greatest of all romance Love of God my Savior Instrumental Verse 2 Mercy roars like hurricane winds Furious love laid waste to my sin Chorus Instrumental Bridge To the One who has rescued my soul To the One who has welcomed me home To the One who is Savior of all I sing forever |2x|","['Adoration & Praise', 'Prayer & Renewal', 'Resurrection & Sacrifice']","['Eph 2.4', '1 Pet 2.24', 'Ps 116.8']",https://www.worshiptogether.com/songs/love-on-the-line-hillsong-worship/
Wouldn't It Be Like You,"Verse 1 Thought I had You figured ou t So sure I knew ex actly how You’d move Thought my Savior was coming With a sword in His hand To my sur prise, He came as a child Chorus Wouldn’t it be like You To be different than we thought Different than we want But better You’re better Wouldn’t it be like You To be different than we thought Different than we want But better You’re better Verse 2 They left my Savior in a to mb Hope was lost and the doubt was breaking through When You broke the bread I saw the holes in Your hands How did I not see, Son of God yet Son of Man REPEAT CHORUS Vamp 1 He’s better, He’s better He’s better, He’s better He’s better, He’s better He’s better You’re better, You’re better You’re better, You’re better You’re better, You’re better You’re better COLUMN_BREAK Bridge Help me be like Ma ry Laid do wn, pouring ou t I won’t miss You in a cr owd 'Cause I love Your vo ice And I know the so und Jesus, if it’s Yo u On the w ater, in the cl oud I’ll be the first one to walk ou t 'Cause I love Your vo ice and I know the so und REPEAT BRIDGE REPEAT CHORUS Vamp 2 You’re better, You’re better You’re better, You’re better You’re better, You’re better You’re better, You’re better REPEAT VAMP 2 Refrain Hold on, don’t grow tired Don’t give up: He’s Better Hold on, don’t grow tired Don’t give up: He’s Better REPEAT REFRAIN 3X Vamp 3 He's better, He's better He's better He's better, He's better He's better Vamp 4 He's better, He's better He's better, He's better He's better, He's better He's better, He's better REPEAT VAMP 4 2X REPEAT CHORUS","['Call to Worship', 'Commitment & Dedication', 'Faith & Trust']","['1 Pet 2.21', '1 Cor 11.1']",https://www.worshiptogether.com/songs/wouldnt-it-be-like-you-bryan-katie-torwalt/
For All My Life,"Intro Verse 1 When my troubles are a little too heavy Who can I turn to to share the we ight? When my mind is clut tered and cloudy Who can I turn to to clear the wa y? Who can I turn to? I turn to Yo u Chorus I won’t lean on my own Under standing I will let go, follow Empty handed You said Your yoke is easy You said Your bur den’s light So I’ll let You lead me For all my life Turnaround Verse 2 When my past is still tr yna haunt me Who can I turn to to give me gr ace When my future is a lit tle un certain Who can I turn to turn to toda y Who can I turn to? I turn to Yo u REPEAT CHORUS Tag So I’ll let You lead me For all my life Bridge Some days are lo ng, some work is tough Whatever I lack You make it up Your yoke is easy, Your burden is light You ga ve me li fe, You give me love When ever I’m dr y, You fill my cup Your yoke is easy, Your burden is light REPEAT CHORUS Tag I know Your yoke is easy I know Your bur den’s light So I’ll let You lead me For all my li fe","['Commitment & Dedication', 'Faith & Trust']","['Prov 3.5-6', 'Ps 37.4-5', 'Ps 33.20-22']",https://www.worshiptogether.com/songs/for-all-my-life-taya/
No Turning Back (Live),"Intro Verse 1 Jesus, I believe You are the Son of God Willing as a King to die upon the cross You didn't stay inside that grave No one else has done the same Verse 2 Jesus, I confess You're Lord of my life I choose to say yes to Your ways not mine No more running, no more searching You're the only one for me Chorus No turning back, won't change my mind I will follow You all of my life The cross be fore me, my past be hind I will follow You all of my life Verse 3 Jesus, I proclaim I'm marked by only You May I bring You faith, may it all be unto You Because Jesus, You're the reason My whole life has changed Yes, Jesus, You're the reason I'm standing here today REPEAT CHORUS 2x Turnaround Bridge I have de cided to follow Jesus I have de cided to follow Jesus I have de cided to follow Jesus No turning back, no turning back REPEAT BRIDGE 2x Vamp No turning back, no turning back No turning back, no turning back REPEAT VAMP REPEAT CHORUS 2x Tag I will follow You all of my life I will follow You all of my life I will follow You all of my life","['Commitment & Dedication', 'Gods Attributes']","['Ps 146.2', 'Ps 37.3']",https://www.worshiptogether.com/songs/no-turning-back-live-the-belonging-co/
